day,monument_distance_m,y_panel_m,x_line_m,face_x_m,face_ahead_of_line_m,subsidence_mm,subsidence_prov,subsidence_basis,subsidence_sigma_mm,subsidence_rate_mm_per_day,tilt_y_urad,curvature_y_per_km,disp_y_mm,strain_y_ustrain,derived_prov,derived_basis,tilt_y_physics_urad,strain_y_physics_ustrain,tilt_x_urad,tilt_x_prov,tilt_x_basis
0,-270.0,-283.47,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-260.1,-273.57,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-250.0,-263.47,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-240.0,-253.47,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-230.1,-243.57,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-220.0,-233.47,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-210.1,-223.57,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-199.8,-213.27,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-189.9,-203.37,258.0,0.0,-258.0,0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-180.1,-193.57,258.0,0.0,-258.0,0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-170.1,-183.57,258.0,0.0,-258.0,0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-160.3,-173.77,258.0,0.0,-258.0,-0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
0,-150.1,-163.57,258.0,0.0,-258.0,0.0,pinned,physics fit + GP correction,0.0,0.0,0.0,0.0,-0.0,0.0,synthetic,derived from the real-anchored surface,-0.0,0.0,-0.0,synthetic,physics model only (no along-panel survey)
