epoch,t_s,node_id,tier,x_m,y_m,z0_mm,subsidence_mm,subsidence_prov,tilt_x_urad,tilt_y_urad,tilt_prov,strain_ustrain,strain_prov,disp_mm,disp_prov,battery_mv,rssi_dbm,parent_used,delivered,via_emergency
1,3600.0,100,1A,-13.29,145.48,0.0,-2.977,synthetic,1192.227,1218.54,synthetic,,,,,4204.921,-59.97,32,true,false
1,3600.0,101,1A,-6.19,-117.25,0.0,-1.175,synthetic,1185.636,1235.401,synthetic,,,,,4201.855,-59.139,32,true,false
1,3600.0,102,1B,10.76,5.93,0.0,-1.08,synthetic,,,,49.572,synthetic,0.366,synthetic,4201.102,-53.13,36,false,true
1,3600.0,103,1B,52.78,-34.48,0.0,-0.434,synthetic,,,,46.63,synthetic,0.675,synthetic,4198.54,-48.814,36,true,false
1,3600.0,104,1C,94.17,4.32,0.0,-0.742,synthetic,,,,39.722,synthetic,,,4198.83,-44.124,36,true,false
1,3600.0,105,1B,102.12,-142.73,0.0,1.933,synthetic,,,,47.771,synthetic,0.687,synthetic,4200.646,-49.623,37,true,false
1,3600.0,106,1C,114.25,-15.88,0.0,1.737,synthetic,,,,41.889,synthetic,,,4201.881,-49.977,36,true,false
1,3600.0,107,1B,115.13,127.21,0.0,0.189,synthetic,,,,52.818,synthetic,0.694,synthetic,4201.617,-55.266,76,true,false
1,3600.0,108,1C,126.81,6.98,0.0,1.394,synthetic,,,,38.018,synthetic,,,4201.388,-46.016,10,true,false
1,3600.0,109,1C,131.69,31.8,0.0,1.638,synthetic,,,,40.4,synthetic,,,4202.282,-53.823,36,true,false
1,3600.0,110,1C,150.17,-28.07,0.0,-1.142,synthetic,,,,42.227,synthetic,,,4201.674,-45.528,10,true,false
1,3600.0,111,1C,150.57,-1.71,0.0,2.226,synthetic,,,,44.691,synthetic,,,4195.371,-24.657,10,true,false
1,3600.0,112,1B,154.36,-151.04,0.0,3.536,synthetic,,,,55.127,synthetic,0.477,synthetic,4198.69,-38.411,37,true,false
1,3600.0,113,1C,161.87,26.92,0.0,1.563,synthetic,,,,44.295,synthetic,,,4205.488,-54.89,39,true,true
1,3600.0,114,1B,172.22,-96.29,0.0,-1.197,synthetic,,,,58.853,synthetic,0.441,synthetic,4197.902,-53.183,37,true,false
1,3600.0,115,1C,178.03,-29.46,0.0,0.289,synthetic,,,,41.531,synthetic,,,4202.894,-57.91,36,true,false
1,3600.0,116,1C,180.68,7.0,0.0,2.657,synthetic,,,,42.616,synthetic,,,4188.677,-46.508,10,true,false
1,3600.0,117,1B,192.21,137.4,0.0,-1.485,synthetic,,,,57.507,synthetic,0.127,synthetic,4200.375,-46.589,76,true,false
1,3600.0,118,1C,197.73,26.63,0.0,0.936,synthetic,,,,37.174,synthetic,,,4195.152,-55.404,76,true,false
1,3600.0,119,1C,201.84,-12.84,0.0,0.687,synthetic,,,,34.614,synthetic,,,4196.479,-47.525,39,true,false
1,3600.0,120,1B,203.6,-168.65,0.0,0.939,synthetic,,,,45.448,synthetic,0.397,synthetic,4205.315,-52.869,55,true,false
1,3600.0,121,1C,229.26,-15.84,0.0,-2.615,synthetic,,,,40.685,synthetic,,,4199.697,-40.245,39,true,false
1,3600.0,122,1C,233.7,20.32,0.0,0.287,synthetic,,,,40.231,synthetic,,,4205.696,-44.209,39,true,false
1,3600.0,123,1A,258.0,-203.37,0.0,-1.376,pinned,1221.804,1481.448,synthetic,,,,,4200.284,-43.97,55,true,false
1,3600.0,124,1A,258.0,-173.77,0.0,1.877,pinned,1406.819,1265.119,synthetic,,,,,4199.166,-36.894,55,true,false
1,3600.0,125,1B,258.0,-153.57,0.0,1.506,pinned,,,,49.827,synthetic,0.589,synthetic,4201.831,-46.423,55,true,false
1,3600.0,126,1B,258.0,-133.57,0.0,2.583,pinned,,,,57.414,synthetic,0.365,synthetic,4198.083,-48.048,68,true,false
1,3600.0,127,1B,258.0,-113.57,0.0,1.36,pinned,,,,53.453,synthetic,0.577,synthetic,4198.096,-42.748,68,true,false
1,3600.0,128,1A,258.0,-93.37,0.0,-0.812,pinned,1238.926,1201.772,synthetic,,,,,4204.318,-42.022,68,true,false
1,3600.0,129,1A,258.0,-73.37,0.0,-0.994,pinned,1234.426,1394.254,synthetic,,,,,4199.918,-47.416,68,true,false
1,3600.0,130,1B,258.0,-43.27,0.0,1.722,pinned,,,,42.975,synthetic,0.551,synthetic,4197.435,-52.859,68,true,false
1,3600.0,131,1C,258.0,-13.67,0.0,-0.561,pinned,,,,38.853,synthetic,,,4197.775,-46.021,39,true,false
1,3600.0,132,1C,258.0,6.63,0.0,0.13,pinned,,,,44.242,synthetic,,,4199.105,-45.68,39,true,false
1,3600.0,133,1C,258.0,36.73,0.0,-0.54,pinned,,,,41.096,synthetic,,,4202.605,-47.959,56,true,false
1,3600.0,134,1A,258.0,66.63,0.0,-0.452,pinned,1264.678,1408.969,synthetic,,,,,4198.132,-40.686,56,true,false
1,3600.0,135,1B,258.0,96.53,0.0,1.842,pinned,,,,50.987,synthetic,0.743,synthetic,4200.108,-47.368,56,true,false
1,3600.0,136,1B,258.0,126.53,0.0,-1.251,pinned,,,,46.472,synthetic,0.532,synthetic,4200.344,-49.585,59,true,false
1,3600.0,137,1B,258.0,146.53,0.0,1.742,pinned,,,,49.418,synthetic,0.482,synthetic,4203.271,-44.009,59,true,false
1,3600.0,138,1B,258.0,166.53,0.0,1.768,pinned,,,,51.091,synthetic,0.355,synthetic,4197.502,-31.321,59,true,false
1,3600.0,139,1A,258.0,186.53,0.0,-0.66,pinned,1322.053,1122.553,synthetic,,,,,4196.048,-42.885,59,true,false
1,3600.0,140,1C,284.15,7.34,0.0,2.522,synthetic,,,,44.202,synthetic,,,4199.631,-47.998,46,true,false
1,3600.0,141,1C,288.78,34.51,0.0,1.246,synthetic,,,,42.438,synthetic,,,4203.309,-48.548,56,true,false
1,3600.0,142,1C,298.09,-33.57,0.0,0.033,synthetic,,,,46.566,synthetic,,,4197.986,-45.517,46,true,false
1,3600.0,143,1B,312.9,167.9,0.0,1.553,synthetic,,,,46.588,synthetic,0.415,synthetic,4201.088,-48.33,14,true,false
1,3600.0,144,1B,313.67,-151.4,0.0,-0.139,synthetic,,,,52.973,synthetic,0.515,synthetic,4188.62,-52.656,55,true,false
1,3600.0,145,1B,314.6,-97.21,0.0,-0.607,synthetic,,,,54.679,synthetic,0.622,synthetic,4193.675,-36.968,78,true,false
1,3600.0,146,1C,321.07,-8.58,0.0,1.429,synthetic,,,,40.128,synthetic,,,4198.552,-36.174,46,true,false
1,3600.0,147,1C,324.91,-35.74,0.0,-0.839,synthetic,,,,38.022,synthetic,,,4194.068,-45.66,46,true,false
1,3600.0,148,1B,332.91,121.76,0.0,0.388,synthetic,,,,47.691,synthetic,0.895,synthetic,4196.728,-46.129,14,true,false
1,3600.0,149,1C,351.05,-3.47,0.0,-0.944,synthetic,,,,42.045,synthetic,,,4188.504,-49.037,46,true,false
1,3600.0,150,1B,361.75,-121.5,0.0,-0.608,synthetic,,,,51.725,synthetic,0.403,synthetic,4202.24,-50.945,78,true,false
1,3600.0,151,1C,375.54,-32.69,0.0,-0.569,synthetic,,,,42.175,synthetic,,,4207.436,-45.796,4,true,false
1,3600.0,152,1B,377.82,97.32,0.0,2.207,synthetic,,,,56.837,synthetic,0.571,synthetic,4204.126,-52.963,14,true,false
1,3600.0,153,1B,387.75,47.97,0.0,0.617,synthetic,,,,53.239,synthetic,0.276,synthetic,4209.233,-52.795,4,true,false
1,3600.0,154,1B,388.32,148.81,0.0,0.36,synthetic,,,,53.249,synthetic,0.403,synthetic,4200.93,-50.337,14,true,false
1,3600.0,155,1C,400.2,-23.78,0.0,1.46,synthetic,,,,39.892,synthetic,,,4206.84,-39.971,4,true,false
1,3600.0,156,1B,403.52,-162.55,0.0,1.214,synthetic,,,,49.194,synthetic,0.454,synthetic,4201.815,-54.844,30,true,false
1,3600.0,157,1B,412.17,-98.3,0.0,0.765,synthetic,,,,47.595,synthetic,0.384,synthetic,4189.68,-43.894,30,true,false
1,3600.0,158,1C,426.17,-35.12,0.0,1.85,synthetic,,,,42.696,synthetic,,,4199.533,-49.33,4,true,false
1,3600.0,159,1B,430.32,112.04,0.0,-2.339,synthetic,,,,52.239,synthetic,0.441,synthetic,4199.172,-53.266,5,true,false
1,3600.0,160,1C,453.5,-26.22,0.0,-2.574,synthetic,,,,43.571,synthetic,,,4204.065,-53.069,4,true,false
1,3600.0,161,1C,461.35,36.95,0.0,2.558,synthetic,,,,44.226,synthetic,,,4200.883,-53.372,27,true,false
1,3600.0,162,1B,466.57,157.87,0.0,-0.6,synthetic,,,,48.379,synthetic,0.372,synthetic,4200.045,-42.826,5,true,false
1,3600.0,163,1B,473.21,-128.21,0.0,-1.538,synthetic,,,,50.837,synthetic,0.772,synthetic,4207.675,-47.006,74,true,false
1,3600.0,164,1B,490.13,102.6,0.0,0.864,synthetic,,,,51.732,synthetic,0.682,synthetic,4198.135,-50.422,5,true,false
1,3600.0,165,1B,493.58,-56.84,0.0,-0.726,synthetic,,,,47.951,synthetic,0.729,synthetic,4200.734,-54.115,30,true,false
1,3600.0,166,1C,494.56,30.34,0.0,1.025,synthetic,,,,40.877,synthetic,,,4202.791,-47.004,27,true,false
