path_id,path_type,distance_m,epoch_days,subsidence_mm,source,digitised_by
IL-1,transverse,-180.0,30,-28,USBM RI 9194,adarsh
IL-1,transverse,-165.0,30,-63,USBM RI 9194,adarsh
IL-1,transverse,-150.0,30,-111,USBM RI 9194,adarsh
IL-1,transverse,-135.0,30,-181,USBM RI 9194,adarsh
IL-1,transverse,-120.0,30,-283,USBM RI 9194,adarsh
IL-1,transverse,-105.0,30,-387,USBM RI 9194,adarsh
IL-1,transverse,-90.0,30,-480,USBM RI 9194,adarsh
IL-1,transverse,-75.0,30,-572,USBM RI 9194,adarsh
IL-1,transverse,-60.0,30,-645,USBM RI 9194,adarsh
IL-1,transverse,-45.0,30,-685,USBM RI 9194,adarsh
IL-1,transverse,-30.0,30,-716,USBM RI 9194,adarsh
IL-1,transverse,-15.0,30,-729,USBM RI 9194,adarsh
IL-1,transverse,0.0,30,-729,USBM RI 9194,adarsh
IL-1,transverse,15.0,30,-736,USBM RI 9194,adarsh
IL-1,transverse,30.0,30,-722,USBM RI 9194,adarsh
IL-1,transverse,45.0,30,-690,USBM RI 9194,adarsh
IL-1,transverse,60.0,30,-648,USBM RI 9194,adarsh
IL-1,transverse,75.0,30,-575,USBM RI 9194,adarsh
IL-1,transverse,90.0,30,-493,USBM RI 9194,adarsh
IL-1,transverse,105.0,30,-393,USBM RI 9194,adarsh
IL-1,transverse,120.0,30,-275,USBM RI 9194,adarsh
IL-1,transverse,135.0,30,-189,USBM RI 9194,adarsh
IL-1,transverse,150.0,30,-114,USBM RI 9194,adarsh
IL-1,transverse,165.0,30,-69,USBM RI 9194,adarsh
IL-1,transverse,180.0,30,-33,USBM RI 9194,adarsh
IL-1,transverse,-180.0,60,-44,USBM RI 9194,adarsh
IL-1,transverse,-165.0,60,-97,USBM RI 9194,adarsh
IL-1,transverse,-150.0,60,-166,USBM RI 9194,adarsh
IL-1,transverse,-135.0,60,-280,USBM RI 9194,adarsh
IL-1,transverse,-120.0,60,-417,USBM RI 9194,adarsh
IL-1,transverse,-105.0,60,-572,USBM RI 9194,adarsh
IL-1,transverse,-90.0,60,-710,USBM RI 9194,adarsh
IL-1,transverse,-75.0,60,-849,USBM RI 9194,adarsh
IL-1,transverse,-60.0,60,-952,USBM RI 9194,adarsh
IL-1,transverse,-45.0,60,-1008,USBM RI 9194,adarsh
IL-1,transverse,-30.0,60,-1057,USBM RI 9194,adarsh
IL-1,transverse,-15.0,60,-1068,USBM RI 9194,adarsh
IL-1,transverse,0.0,60,-1085,USBM RI 9194,adarsh
IL-1,transverse,15.0,60,-1076,USBM RI 9194,adarsh
IL-1,transverse,30.0,60,-1050,USBM RI 9194,adarsh
IL-1,transverse,45.0,60,-1009,USBM RI 9194,adarsh
IL-1,transverse,60.0,60,-946,USBM RI 9194,adarsh
IL-1,transverse,75.0,60,-849,USBM RI 9194,adarsh
IL-1,transverse,90.0,60,-721,USBM RI 9194,adarsh
IL-1,transverse,105.0,60,-576,USBM RI 9194,adarsh
IL-1,transverse,120.0,60,-419,USBM RI 9194,adarsh
IL-1,transverse,135.0,60,-279,USBM RI 9194,adarsh
IL-1,transverse,150.0,60,-163,USBM RI 9194,adarsh
IL-1,transverse,165.0,60,-90,USBM RI 9194,adarsh
IL-1,transverse,180.0,60,-54,USBM RI 9194,adarsh
IL-1,transverse,-180.0,90,-50,USBM RI 9194,adarsh
IL-1,transverse,-165.0,90,-107,USBM RI 9194,adarsh
IL-1,transverse,-150.0,90,-197,USBM RI 9194,adarsh
IL-1,transverse,-135.0,90,-316,USBM RI 9194,adarsh
IL-1,transverse,-120.0,90,-473,USBM RI 9194,adarsh
IL-1,transverse,-105.0,90,-650,USBM RI 9194,adarsh
IL-1,transverse,-90.0,90,-832,USBM RI 9194,adarsh
IL-1,transverse,-75.0,90,-979,USBM RI 9194,adarsh
IL-1,transverse,-60.0,90,-1089,USBM RI 9194,adarsh
IL-1,transverse,-45.0,90,-1161,USBM RI 9194,adarsh
IL-1,transverse,-30.0,90,-1212,USBM RI 9194,adarsh
IL-1,transverse,-15.0,90,-1232,USBM RI 9194,adarsh
IL-1,transverse,0.0,90,-1243,USBM RI 9194,adarsh
IL-1,transverse,15.0,90,-1237,USBM RI 9194,adarsh
IL-1,transverse,30.0,90,-1206,USBM RI 9194,adarsh
IL-1,transverse,45.0,90,-1159,USBM RI 9194,adarsh
IL-1,transverse,60.0,90,-1091,USBM RI 9194,adarsh
IL-1,transverse,75.0,90,-972,USBM RI 9194,adarsh
IL-1,transverse,90.0,90,-826,USBM RI 9194,adarsh
IL-1,transverse,105.0,90,-658,USBM RI 9194,adarsh
IL-1,transverse,120.0,90,-476,USBM RI 9194,adarsh
IL-1,transverse,135.0,90,-311,USBM RI 9194,adarsh
IL-1,transverse,150.0,90,-193,USBM RI 9194,adarsh
IL-1,transverse,165.0,90,-98,USBM RI 9194,adarsh
IL-1,transverse,180.0,90,-65,USBM RI 9194,adarsh
IL-1,transverse,-180.0,120,-51,USBM RI 9194,adarsh
IL-1,transverse,-165.0,120,-112,USBM RI 9194,adarsh
IL-1,transverse,-150.0,120,-207,USBM RI 9194,adarsh
IL-1,transverse,-135.0,120,-339,USBM RI 9194,adarsh
IL-1,transverse,-120.0,120,-518,USBM RI 9194,adarsh
IL-1,transverse,-105.0,120,-697,USBM RI 9194,adarsh
IL-1,transverse,-90.0,120,-878,USBM RI 9194,adarsh
IL-1,transverse,-75.0,120,-1031,USBM RI 9194,adarsh
IL-1,transverse,-60.0,120,-1161,USBM RI 9194,adarsh
IL-1,transverse,-45.0,120,-1242,USBM RI 9194,adarsh
IL-1,transverse,-30.0,120,-1287,USBM RI 9194,adarsh
IL-1,transverse,-15.0,120,-1303,USBM RI 9194,adarsh
IL-1,transverse,0.0,120,-1313,USBM RI 9194,adarsh
IL-1,transverse,15.0,120,-1310,USBM RI 9194,adarsh
IL-1,transverse,30.0,120,-1282,USBM RI 9194,adarsh
IL-1,transverse,45.0,120,-1238,USBM RI 9194,adarsh
IL-1,transverse,60.0,120,-1153,USBM RI 9194,adarsh
IL-1,transverse,75.0,120,-1041,USBM RI 9194,adarsh
IL-1,transverse,90.0,120,-881,USBM RI 9194,adarsh
IL-1,transverse,105.0,120,-698,USBM RI 9194,adarsh
IL-1,transverse,120.0,120,-515,USBM RI 9194,adarsh
IL-1,transverse,135.0,120,-338,USBM RI 9194,adarsh
IL-1,transverse,150.0,120,-204,USBM RI 9194,adarsh
IL-1,transverse,165.0,120,-112,USBM RI 9194,adarsh
IL-1,transverse,180.0,120,-56,USBM RI 9194,adarsh
IL-1,transverse,-180.0,180,-64,USBM RI 9194,adarsh
IL-1,transverse,-165.0,180,-119,USBM RI 9194,adarsh
IL-1,transverse,-150.0,180,-215,USBM RI 9194,adarsh
IL-1,transverse,-135.0,180,-357,USBM RI 9194,adarsh
IL-1,transverse,-120.0,180,-529,USBM RI 9194,adarsh
IL-1,transverse,-105.0,180,-722,USBM RI 9194,adarsh
IL-1,transverse,-90.0,180,-906,USBM RI 9194,adarsh
IL-1,transverse,-75.0,180,-1079,USBM RI 9194,adarsh
IL-1,transverse,-60.0,180,-1204,USBM RI 9194,adarsh
IL-1,transverse,-45.0,180,-1289,USBM RI 9194,adarsh
IL-1,transverse,-30.0,180,-1347,USBM RI 9194,adarsh
IL-1,transverse,-15.0,180,-1361,USBM RI 9194,adarsh
IL-1,transverse,0.0,180,-1368,USBM RI 9194,adarsh
IL-1,transverse,15.0,180,-1349,USBM RI 9194,adarsh
IL-1,transverse,30.0,180,-1338,USBM RI 9194,adarsh
IL-1,transverse,45.0,180,-1287,USBM RI 9194,adarsh
IL-1,transverse,60.0,180,-1205,USBM RI 9194,adarsh
IL-1,transverse,75.0,180,-1086,USBM RI 9194,adarsh
IL-1,transverse,90.0,180,-910,USBM RI 9194,adarsh
IL-1,transverse,105.0,180,-720,USBM RI 9194,adarsh
IL-1,transverse,120.0,180,-525,USBM RI 9194,adarsh
IL-1,transverse,135.0,180,-357,USBM RI 9194,adarsh
IL-1,transverse,150.0,180,-207,USBM RI 9194,adarsh
IL-1,transverse,165.0,180,-124,USBM RI 9194,adarsh
IL-1,transverse,180.0,180,-54,USBM RI 9194,adarsh
IL-1,transverse,-180.0,240,-47,USBM RI 9194,adarsh
IL-1,transverse,-165.0,240,-123,USBM RI 9194,adarsh
IL-1,transverse,-150.0,240,-218,USBM RI 9194,adarsh
IL-1,transverse,-135.0,240,-355,USBM RI 9194,adarsh
IL-1,transverse,-120.0,240,-536,USBM RI 9194,adarsh
IL-1,transverse,-105.0,240,-738,USBM RI 9194,adarsh
IL-1,transverse,-90.0,240,-923,USBM RI 9194,adarsh
IL-1,transverse,-75.0,240,-1095,USBM RI 9194,adarsh
IL-1,transverse,-60.0,240,-1213,USBM RI 9194,adarsh
IL-1,transverse,-45.0,240,-1304,USBM RI 9194,adarsh
IL-1,transverse,-30.0,240,-1341,USBM RI 9194,adarsh
IL-1,transverse,-15.0,240,-1377,USBM RI 9194,adarsh
IL-1,transverse,0.0,240,-1382,USBM RI 9194,adarsh
IL-1,transverse,15.0,240,-1369,USBM RI 9194,adarsh
IL-1,transverse,30.0,240,-1355,USBM RI 9194,adarsh
IL-1,transverse,45.0,240,-1299,USBM RI 9194,adarsh
IL-1,transverse,60.0,240,-1209,USBM RI 9194,adarsh
IL-1,transverse,75.0,240,-1098,USBM RI 9194,adarsh
IL-1,transverse,90.0,240,-922,USBM RI 9194,adarsh
IL-1,transverse,105.0,240,-729,USBM RI 9194,adarsh
IL-1,transverse,120.0,240,-529,USBM RI 9194,adarsh
IL-1,transverse,135.0,240,-362,USBM RI 9194,adarsh
IL-1,transverse,150.0,240,-222,USBM RI 9194,adarsh
IL-1,transverse,165.0,240,-115,USBM RI 9194,adarsh
IL-1,transverse,180.0,240,-56,USBM RI 9194,adarsh
