path_id,path_type,distance_m,epoch_days,subsidence_mm,source,digitised_by
S,transverse,-260.1,210,-8,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,210,-13,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,210,-10,10.18311/jmmf/2022/32099,adarsh
S,transverse,-230.1,210,-15,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,210,-12,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,210,-13,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,210,-15,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,210,-33,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,210,-21,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,210,-45,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,210,-93,10.18311/jmmf/2022/32099,adarsh
S,transverse,-150.1,210,-56,10.18311/jmmf/2022/32099,adarsh
S,transverse,-140.1,210,-98,10.18311/jmmf/2022/32099,adarsh
S,transverse,-130.2,210,-129,10.18311/jmmf/2022/32099,adarsh
S,transverse,-120.1,210,-175,10.18311/jmmf/2022/32099,adarsh
S,transverse,-109.7,210,-210,10.18311/jmmf/2022/32099,adarsh
S,transverse,-100.1,210,-290,10.18311/jmmf/2022/32099,adarsh
S,transverse,-90.0,210,-356,10.18311/jmmf/2022/32099,adarsh
S,transverse,-79.9,210,-207,10.18311/jmmf/2022/32099,adarsh
S,transverse,-70.0,210,-579,10.18311/jmmf/2022/32099,adarsh
S,transverse,-59.9,210,-642,10.18311/jmmf/2022/32099,adarsh
S,transverse,-50.0,210,-734,10.18311/jmmf/2022/32099,adarsh
S,transverse,-41.0,210,-916,10.18311/jmmf/2022/32099,adarsh
S,transverse,-29.8,210,-946,10.18311/jmmf/2022/32099,adarsh
S,transverse,-19.9,210,-1058,10.18311/jmmf/2022/32099,adarsh
S,transverse,-9.9,210,-1103,10.18311/jmmf/2022/32099,adarsh
S,transverse,-0.2,210,-1198,10.18311/jmmf/2022/32099,adarsh
S,transverse,9.9,210,-1188,10.18311/jmmf/2022/32099,adarsh
S,transverse,20.1,210,-1183,10.18311/jmmf/2022/32099,adarsh
S,transverse,30.0,210,-1139,10.18311/jmmf/2022/32099,adarsh
S,transverse,40.0,210,-1096,10.18311/jmmf/2022/32099,adarsh
S,transverse,50.2,210,-1010,10.18311/jmmf/2022/32099,adarsh
S,transverse,60.4,210,-893,10.18311/jmmf/2022/32099,adarsh
S,transverse,70.1,210,-875,10.18311/jmmf/2022/32099,adarsh
S,transverse,80.1,210,-745,10.18311/jmmf/2022/32099,adarsh
S,transverse,90.0,210,-604,10.18311/jmmf/2022/32099,adarsh
S,transverse,100.0,210,-522,10.18311/jmmf/2022/32099,adarsh
S,transverse,110.0,210,-449,10.18311/jmmf/2022/32099,adarsh
S,transverse,120.0,210,-338,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,210,-260,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,210,-238,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,210,-203,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,210,-117,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,210,-164,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,210,-222,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,210,-101,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,210,-106,10.18311/jmmf/2022/32099,adarsh
S,transverse,-260.1,300,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,300,-19,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,300,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-230.1,300,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,300,-15,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,300,-29,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,300,-39,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,300,-30,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,300,17,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,300,-44,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,300,-74,10.18311/jmmf/2022/32099,adarsh
